,place_name,place_id,lat,lng,type
134,Unicredit,ChIJuT9H2uLDhkcR0IeZBPBRSrE,45.45760120000001,9.168971400000002,bank
135,Deutsche Bank,ChIJ1wZB4KjGhkcRe7p_afrvuqA,45.4613225,9.1915871,bank
136,Credito Valtellinese Spa Agenzia 3,ChIJoVIAUT3BhkcR2i6e5_lT2iY,45.48777029999999,9.168567499999998,bank
137,Intesa Sanpaolo S.p.A.,ChIJI-PBOlzBhkcRMfl7ufTGSRk,45.4668018,9.150357,bank
138,Banca Sella Spa,ChIJsQ8bQ6nGhkcRmi6AMtU8wcQ,45.46179959999999,9.1896714,bank
139,Intesa Sanpaolo S.p.A. - Punto Consulenza,ChIJaUsMSC3ChkcR_-RxGUDbxcY,45.4540821,9.1332781,bank
140,Credito Valtellinese Spa,ChIJUfBEN2LPhkcRSV3NGa5nqD0,45.42693209999999,9.2649323,bank
141,Banca Sella Spa,ChIJ9Z6fOZ_GhkcREvk6Vs6QigE,45.4605472,9.207526099999999,bank
142,Radisson Blu Hotel Milan,ChIJbQW5wVTAhkcRY80EmLTiCys,45.50066309999999,9.144576299999999,bar
143,Hotel Roma in Milan,ChIJD7Ws327ChkcRcIUSjWHRF9A,45.4393992,9.098560299999999,bar
144,Hotel Charly,ChIJv8PMncPGhkcRpqqCOc2s_5Y,45.4824326,9.208176299999998,bar
145,Grand Hotel et de Milan,ChIJz4oic7HGhkcR6DARPUTOSHk,45.4699224,9.192502899999997,bar
146,Best Western Antares Hotel Concorde,ChIJHZYWLhjHhkcRdTXtwNMg6Dw,45.5024263,9.2219069,bar
147,Hotel Silver Milano,ChIJ5bYLe_LphkcRQRuUuxixgao,45.459016,9.068226,bar
148,STRAFhotel | a member of Design Hotels™,ChIJ5wx4X67GhkcRve69j0nZ-5U,45.46523699999999,9.191246999999999,bar
149,GRAND HOTEL BARONE DI SASSJ,ChIJ66szuzF0NxMRqSu61onUi5M,45.5375,9.230833300000002,bar
150,Old Fashion Club,ChIJwQQXkEXBhkcR6p1HGCVSK6I,45.4727971,9.173582800000002,bar
151,Sanvittore Ristorante Cocktail Bar & Music Lounge,ChIJk_hmoVjBhkcR4RJwcjdIIjw,45.459883,9.1659682,bar
152,NooN Restaurant & Cocktail Bar,ChIJsd5pEVDBhkcRO-QHXskjBbU,45.4678905,9.1746024,bar
153,Ristorante Callistos,ChIJ278WkCTHhkcRe7bLnN_K90U,45.5019041,9.2124541,bar
154,Rock'n'Roll,ChIJBUuu_tjGhkcR3VMSkTR18aU,45.49252909999999,9.207508599999997,bar
155,Pandenus,ChIJPQ11kDXBhkcResQW-xZ4e98,45.4784583,9.1847286,bar
156,Il Gattopardo Cafè Disco,ChIJAeSKyhbBhkcRTkxtSeLosIc,45.48525050000001,9.1614232,bar
157,Peck,ChIJTVAKcKzGhkcRMs7mktXAZeM,45.4635189,9.1869577,bar
158,BhangraBar,ChIJhfuXH0fBhkcR7wEt2koyCq0,45.47621650000001,9.171239800000002,bar
159,Shambala,ChIJban7KFjEhkcRjcAeP_TuHdc,45.42168889999999,9.204654699999999,bar
160,AKKADEMIA,ChIJuS8y9mTBhkcR7A0kntar7y0,45.467321,9.152451,bar
161,Bar Cuore Milano,ChIJ5WtgYFXBhkcR9C5W9X4lX4Q,45.45894839999999,9.180602799999999,bar
162,The Spa at Four Seasons Hotel Milano,ChIJqcGQZ7DGhkcRMEI-PQFMiPo,45.469393,9.195218900000002,beauty_salon
163,Brazilian Beauty Express - Centro Estetico Milano & Parrucchiere Milano,ChIJI6PfKQfEhkcReISsn1LBDHg,45.45535230000001,9.1894662,beauty_salon
164,EsteticaMente,ChIJ5661oJPAhkcRXtrR0og3c34,45.5189286,9.1704949,beauty_salon
165,New Malibu,ChIJl3K-AB_HhkcRijDIF3euUF0,45.4959768,9.2199153,beauty_salon
166,Armonia Del Corpo,ChIJS-B_i5vGhkcRUdIlA3D3NgE,45.4605146,9.2070262,beauty_salon
167,Studio Olistico Euclide,ChIJ_aEGcwMuVUARpyWetxGtYdg,45.46253369999999,9.211217399999999,beauty_salon
168,Spazio Aurea,ChIJwwTb68HGhkcRYGWsv7xw-RE,45.4789585,9.2107095,beauty_salon
169,Pharmacy Melchiorre Gioia,ChIJDyDmDNjGhkcRDb3VE-0Xe5Y,45.4945943,9.2065208,beauty_salon
170,Estetica E Benessere Mara Rozzano,ChIJMVL27aXEhkcR1ROWkan-hAA,45.3939221,9.167557,beauty_salon
171,Centro Estetico Diana Braghi,ChIJi0lgeSzHhkcR12sRd9jofms,45.5002764,9.1987291,beauty_salon
172,Mastoplastica additiva Milano - Lunimedica,ChIJwdYY95PGhkcR8QdcyLRM1fA,45.4707295,9.2163056,beauty_salon
173,Sale è Salute Srl,ChIJN82ZSlXBhkcRk3Oq09LJt7g,45.4663159,9.1952559,beauty_salon
174,Centro Estetico MySunny - Estetica & Benessere,ChIJlbmkQFXBhkcRGpK0tMoDFC0,45.45981339999999,9.1810758,beauty_salon
175,"CENTRO DENTALE LUGANO - Studio dentistico, Dentista, Medicina estetica , Bovisa, Ghisolfa",ChIJpUPH4uHAhkcRq5DJ6zqejU0,45.4979859,9.166333999999999,beauty_salon
176,Fascino,ChIJCYbWKyzBhkcRgITIrQ0IIZ8,45.4893077,9.186188,beauty_salon
177,Vanysia vanità e bellezza (centro estetico),ChIJh6qKLR_HhkcRUGuwWglT5vE,45.49806009999999,9.220111399999999,beauty_salon
178,Carolin Cruz,ChIJ-TadJgLEhkcRH4wWvdBmKlw,45.4510564,9.1953582,beauty_salon
179,ARES s.n.c.,ChIJXR5fQ9jGhkcRxLL4CTPFNxc,45.4921393,9.203486199999999,beauty_salon
180,Myspa - Biologique Recherche Milano,ChIJdTnab1TBhkcRftBUBxzAH0g,45.462853,9.179574999999998,beauty_salon
181,Atelier du corps,ChIJbX54WiHEhkcRYhX4pGx8nGc,45.45190799999999,9.20762,beauty_salon
